
[검색조건]
지점명 : 광주, 기간 : 20200101 ~ 20240305
일자,기온(°C),풍속(km/h),체감온도(°C)
2020-01-01,-4.8,14.8,-10.3
2020-01-02,1.4,4.7,0.1
2020-01-03,1.9,6.1,0.1
2020-01-04,-1,4.7,-2.6
2020-01-05,1,4.7,-0.3
2020-01-06,5.1,9.7,2.8
2020-01-08,5.5,18.4,1.9
2020-01-09,1.1,10.4,-2.1
2020-01-10,-0.7,10.4,-4.3
2020-01-11,-0.1,6.5,-2.3
2020-01-12,2.3,7.6,0.1
2020-01-13,-0.2,13.7,-4.4
2020-01-14,-0.1,15.8,-4.7
2020-01-15,0.3,14.8,-4
2020-01-16,-1.1,15.5,-5.9
2020-01-17,0.9,9.4,-2.1
2020-01-18,-1.5,4.7,-3.1
2020-01-19,0.1,6.1,-1.9
2020-01-20,2.8,11.9,-0.4
2020-01-21,-1.4,12.2,-5.5
2020-01-22,3.3,5,2.2
2020-01-23,6.6,11.9,4.2
2020-01-24,2.7,9.7,0
2020-01-25,7.5,5,6.9
2020-01-26,8.6,14,6.3
2020-01-27,6.6,18,3.3
2020-01-28,6.9,10.1,4.9
2020-01-29,5.9,8.6,4
2020-01-30,3.7,6.1,2.2
2020-02-01,4.5,5,3.5
2020-02-02,3.2,4.7,2.2
2020-02-03,-1.3,6.1,-3.6
2020-02-04,-3,9,-6.6
2020-02-05,-5.3,13.7,-10.7
2020-02-06,-7,13,-12.6
2020-02-07,2.3,10.4,-0.7
2020-02-08,0.7,6.5,-1.4
2020-02-09,-0.9,8.3,-3.9
2020-02-10,0.4,4.7,-1
2020-02-11,0.4,5.4,-1.3
2020-02-12,8.2,12.6,6
2020-02-13,6.5,5,5.8
2020-02-14,4.7,5.4,3.6
2020-02-15,7.7,8.3,6.2
2020-02-16,-0.9,11.5,-4.8
2020-02-17,-3.7,12.6,-8.4
2020-02-18,-2.5,5,-4.4
2020-02-19,-2,7.9,-5.1
2020-02-20,3.9,7.9,1.9
2020-02-21,3.1,4.7,2.1
2020-02-22,3.6,7.6,1.6
2020-02-23,0.8,5.4,-0.9
2020-02-24,1.1,6.1,-0.8
2020-02-25,9.9,5,9.6
2020-02-26,4,5.4,2.8
2020-02-27,2.1,8.3,-0.4
2020-02-28,5.3,8.3,3.4
2020-03-01,3.9,7.9,1.9
2020-03-02,3.3,9.7,0.7
2020-03-03,3,10.4,0.2
2020-03-04,0.3,11.9,-3.4
2020-03-05,1.6,13,-2.1
2020-03-06,-1.6,5.4,-3.6
2020-03-07,3.4,8.6,1.1
2020-03-08,3.4,11.2,0.5
2020-03-09,5.6,5.8,4.5
2020-03-10,4.7,6.5,3.2
2020-03-11,3.4,8.3,1.2
2020-03-12,-0.4,4.7,-1.9
2020-03-13,3.9,7.9,1.9
2020-03-14,0.5,8.6,-2.3
2020-03-15,2.7,14.8,-1.1
2020-03-16,0.5,7.2,-1.9
2020-03-17,3.8,5.8,2.4
2020-03-18,6,5.8,4.9
2020-03-19,7.7,12.2,5.5
2020-03-20,6.5,5,5.8
2020-03-21,7,5.4,6.2
2020-03-22,9,7.9,7.9
2020-03-23,5.7,6.8,4.3
2020-03-24,5.1,5,4.2
2020-03-27,5.3,14.8,2.1
2020-03-28,5,12.6,2.1
2020-03-29,2.4,5,1.1
2020-03-30,9.1,5.8,8.5
2020-04-01,7.1,10.8,5
2020-04-02,8,5,7.5
2020-04-03,5.6,7.2,4.1
2020-04-04,5.8,11.5,3.3
2020-04-05,3,6.1,1.4
2020-04-06,1.7,5,0.3
2020-04-07,9,4.7,8.7
2020-04-08,8.6,6.8,7.6
2020-04-09,9.5,7.2,8.6
2020-04-10,8.4,13,6.2
2020-04-11,6,11.2,3.6
2020-04-12,5.7,8.3,3.9
2020-04-13,5.5,9.4,3.4
2020-04-14,6.4,4.7,5.8
2020-04-15,6.6,4.7,6
2020-04-16,7.6,5,7
2020-04-17,10,7.2,9.2
2020-04-18,9.9,8.3,8.8
2020-04-19,10,15.1,7.9
2020-04-20,9.4,7.9,8.3
2020-04-21,6.9,10.1,4.9
2020-04-22,6.7,10.8,4.5
2020-04-23,5.4,6.1,4.2
2020-04-24,6.7,4.7,6.1
2020-04-25,9.3,5.4,8.8
2020-04-26,8,5.8,7.2
2020-04-27,9.7,9.4,8.4
2020-04-28,6.4,4.7,5.8
2020-10-19,10,6.5,9.3
2020-10-23,10,6.5,9.3
2020-10-24,9.1,5,8.7
2020-10-25,7.4,5,6.8
2020-10-29,7.5,9,5.8
2020-10-30,9.1,5.4,8.6
2020-11-03,5.5,5,4.7
2020-11-04,4.9,11.2,2.3
2020-11-05,2.5,5,1.2
2020-11-08,8.5,9,7
2020-11-09,4.2,8.6,2
2020-11-10,7.2,5,6.6
2020-11-11,6,4.7,5.3
2020-11-15,9.5,6.5,8.8
2020-11-16,8,7.2,6.8
2020-11-20,7.4,13,5
2020-11-21,2.9,8.6,0.5
2020-11-22,6.9,9.7,5
2020-11-23,2.8,10.1,0
2020-11-24,3.1,10.8,0.2
2020-11-25,2.9,7.2,0.9
2020-11-26,6.9,10.4,4.8
2020-11-27,5.9,8.6,4
2020-11-28,3.6,9,1.2
2020-11-29,2.9,9.4,0.3
2020-12-01,-0.3,11.2,-4
2020-12-02,1.1,8.6,-1.6
2020-12-03,1.9,10.1,-1.1
2020-12-04,-0.1,11.2,-3.7
2020-12-05,-0.6,6.5,-2.9
2020-12-06,-0.2,2.9,-0.6
2020-12-07,0.7,11.2,-2.8
2020-12-08,0.2,8.6,-2.7
2020-12-09,-1.7,6.5,-4.2
2020-12-10,3.9,5.8,2.5
2020-12-11,3.5,6.5,1.8
2020-12-12,4.9,12.2,2.1
2020-12-13,1.1,15.1,-3.1
2020-12-14,-3.9,13,-8.8
2020-12-15,-5.6,15.8,-11.5
2020-12-16,-4.7,10.1,-9
2020-12-17,-4.5,9.4,-8.5
2020-12-18,-2.2,9.4,-5.8
2020-12-19,-3.8,11.9,-8.4
2020-12-20,-2,12.6,-6.4
2020-12-21,-2.9,4.7,-4.7
2020-12-22,-1.5,5,-3.3
2020-12-23,-1.2,3.2,-1.9
2020-12-24,2.7,6.8,0.8
2020-12-25,-0.1,6.8,-2.4
2020-12-26,-1.1,4.3,-2.5
2020-12-27,4.1,7.6,2.2
2020-12-28,0.7,4.3,-0.5
2020-12-29,-0.4,10.8,-4
2020-12-30,-7.7,9.7,-12.4
2020-12-31,-8.7,13,-14.6
2021-01-01,-5,5.8,-7.7
2021-01-02,-3.1,10.4,-7.1
2021-01-03,-3.3,14.8,-8.4
2021-01-04,-3.6,9.4,-7.4
2021-01-05,-3.8,10.4,-8
2021-01-06,-5.2,11.5,-10
2021-01-07,-11.4,10.1,-17
2021-01-08,-13.5,16.6,-21.5
2021-01-09,-10.8,15.5,-17.9
2021-01-10,-10.6,5.4,-13.9
2021-01-11,-4.7,4.7,-6.8
2021-01-12,-4.3,4,-5.9
2021-01-13,-2.1,4,-3.4
2021-01-14,1,5.4,-0.6
2021-01-15,3.7,9.4,1.2
2021-01-16,-2.1,18.4,-7.6
2021-01-17,-4.7,13,-9.7
2021-01-18,-0.7,11.9,-4.6
2021-01-19,-4.6,11.2,-9.2
2021-01-20,-3,5.8,-5.4
2021-01-21,4.6,8.3,2.6
2021-01-22,7.8,4.3,7.5
2021-01-23,7.9,12.2,5.7
2021-01-24,6.2,11.2,3.9
2021-01-25,5.1,9.7,2.8
2021-01-26,4.6,9,2.4
2021-01-27,2.4,16.9,-1.8
2021-01-28,-3.8,12.2,-8.5
2021-01-29,-6.1,13,-11.5
2021-01-30,-4.8,5.4,-7.2
2021-01-31,-0.5,8.6,-3.5
2021-02-01,4.9,16.2,1.4
2021-02-02,-1.5,17.3,-6.7
2021-02-03,-4.6,15.5,-10.2
2021-02-04,-1.3,5.4,-3.3
2021-02-05,-2.7,7.6,-5.8
2021-02-06,0,4,-1.1
2021-02-07,2.5,9,-0.1
2021-02-08,-0.7,12.6,-4.8
2021-02-09,-3.4,13,-8.2
2021-02-10,-2.2,4.7,-3.9
2021-02-11,1.2,10.8,-2.1
2021-02-12,4,5.8,2.6
2021-02-13,1.9,3.2,1.5
2021-02-14,6.5,5,5.8
2021-02-15,0.2,14.8,-4.1
2021-02-16,-3,9.7,-6.8
2021-02-17,-5,15.1,-10.6
2021-02-18,-4,16.2,-9.6
2021-02-19,-1.6,4,-2.9
2021-02-20,5.8,5.4,4.8
2021-02-21,6,3.6,5.8
2021-02-22,3.6,9.7,1.1
2021-02-23,-0.4,13.3,-4.6
2021-02-24,0.3,9.7,-2.9
2021-02-25,5,19.8,1.1
2021-02-26,5.3,19.1,1.6
2021-02-27,4.5,17.6,0.7
2021-02-28,6.1,11.5,3.7
2021-03-01,5.8,14,2.9
2021-03-02,1.4,7.6,-1
2021-03-03,0.4,6.1,-1.6
2021-03-04,4.5,8.3,2.5
2021-03-05,6.5,12.2,4
